N,snv_offset,delta,lflank,n_loci,frac_T,frac_D
5,6,-5,8,5420,0.0009225092250922509,0.0005535055350553505
5,6,-5,9,5420,0.00018450184501845018,0.00018450184501845018
5,6,-4,6,5420,0.005904059040590406,0.0014760147601476014
5,6,-4,7,5420,0.002214022140221402,0.00036900369003690036
5,6,-4,8,5420,0.0014760147601476014,0.00018450184501845018
5,6,-4,9,5420,0.00036900369003690036,0.00018450184501845018
5,6,-4,10,5420,0.0,0.00018450184501845018
5,6,-3,6,5420,0.005904059040590406,0.0014760147601476014
5,6,-3,7,5420,0.002214022140221402,0.00036900369003690036
5,6,-3,8,5420,0.0014760147601476014,0.00018450184501845018
5,6,-3,9,5420,0.00036900369003690036,0.00018450184501845018
5,6,-3,10,5420,0.0,0.00018450184501845018
5,6,-2,6,5420,0.005904059040590406,0.0014760147601476014
5,6,-2,7,5420,0.002214022140221402,0.00036900369003690036
5,6,-2,8,5420,0.0014760147601476014,0.00018450184501845018
5,6,-2,9,5420,0.00036900369003690036,0.00018450184501845018
5,6,-2,10,5420,0.0,0.00018450184501845018
5,6,-1,6,5420,0.005904059040590406,0.0014760147601476014
5,6,-1,7,5420,0.002214022140221402,0.00036900369003690036
5,6,-1,8,5420,0.0014760147601476014,0.00018450184501845018
5,6,-1,9,5420,0.00036900369003690036,0.00018450184501845018
5,6,-1,10,5420,0.0,0.00018450184501845018
5,6,0,6,5420,0.005904059040590406,0.0014760147601476014
5,6,0,7,5420,0.002214022140221402,0.00036900369003690036
5,6,0,8,5420,0.0014760147601476014,0.00018450184501845018
5,6,0,9,5420,0.00036900369003690036,0.00018450184501845018
5,6,0,10,5420,0.0,0.00018450184501845018
5,6,1,6,5420,0.005904059040590406,0.0014760147601476014
5,6,1,7,5420,0.002214022140221402,0.00036900369003690036
5,6,1,8,5420,0.0014760147601476014,0.00018450184501845018
5,6,1,9,5420,0.00036900369003690036,0.00018450184501845018
5,6,1,10,5420,0.0,0.00018450184501845018
5,6,2,6,5420,0.005904059040590406,0.0014760147601476014
5,6,2,7,5420,0.002214022140221402,0.00036900369003690036
5,6,2,8,5420,0.0014760147601476014,0.00018450184501845018
5,6,2,9,5420,0.00036900369003690036,0.00018450184501845018
5,6,2,10,5420,0.0,0.00018450184501845018
5,6,3,6,5420,0.005904059040590406,0.0014760147601476014
5,6,3,7,5420,0.002214022140221402,0.00036900369003690036
5,6,3,8,5420,0.0014760147601476014,0.00018450184501845018
5,6,3,9,5420,0.00036900369003690036,0.00018450184501845018
5,6,3,10,5420,0.0,0.00018450184501845018
5,6,4,6,5420,0.005904059040590406,0.0014760147601476014
5,6,4,7,5420,0.002214022140221402,0.00036900369003690036
5,6,4,8,5420,0.0014760147601476014,0.00018450184501845018
5,6,4,9,5420,0.00036900369003690036,0.00018450184501845018
5,6,4,10,5420,0.0,0.00018450184501845018
5,6,5,6,5420,0.005904059040590406,0.0014760147601476014
5,6,5,7,5420,0.002214022140221402,0.00036900369003690036
5,6,5,8,5420,0.0014760147601476014,0.00018450184501845018
5,6,5,9,5420,0.00036900369003690036,0.00018450184501845018
5,6,5,10,5420,0.0,0.00018450184501845018
5,10,-5,1,5420,0.00018450184501845018,0.0
5,11,-5,1,5420,0.00018450184501845018,0.0
10,1,-5,1,5420,0.5826568265682657,0.4173431734317343
10,1,-5,2,5420,0.4833948339483395,0.18837638376383764
10,1,-5,3,5420,0.3501845018450184,0.07693726937269373
10,1,-5,4,5420,0.20830258302583027,0.02988929889298893
10,1,-5,5,5420,0.10719557195571956,0.010885608856088561
10,1,-5,6,5420,0.046678966789667896,0.003874538745387454
10,1,-5,7,5420,0.018819188191881917,0.0012915129151291514
10,1,-5,8,5420,0.005535055350553505,0.0
10,1,-5,9,5420,0.0014760147601476014,0.0
10,1,-5,10,5420,0.0007380073800738007,0.0
10,1,-4,1,5420,0.5826568265682657,0.4173431734317343
10,1,-4,2,5420,0.4833948339483395,0.18837638376383764
10,1,-4,3,5420,0.3501845018450184,0.07693726937269373
10,1,-4,4,5420,0.20830258302583027,0.02988929889298893
